PERMNO,date,BIDLO,ASKHI,PRC,VOL,BID,ASK,NUMTRD,Ticker
12490,6/4/2019,129.08501,132.74001,132.69,3913535,132.67999,132.69,,
12490,6/5/2019,130.47,133.61,131.49001,3161584,131.42999,131.46001,,
12490,6/6/2019,130.89999,132.64999,132.22,2298248,132.22,132.25,,
12490,6/7/2019,132.21001,134.72,133.31,2553398,133.28,133.31,,
12490,6/10/2019,133.91,135.3526,134.74001,2911327,134.71001,134.74001,,
12490,6/11/2019,135.05,136.46001,135.95,3407345,135.92,135.95,,
12490,6/12/2019,134.41,135.94,134.87,2254741,134.87,134.88,,
12490,6/13/2019,135.09,136.27,135.75999,2955419,135.78,135.81,,
12490,6/14/2019,134.42999,135.88,135.14999,2193367,135.19,135.22,,
12490,6/17/2019,134.7,136.03,134.95,2194129,134.92,134.95,,
12490,6/18/2019,135.2,137.19,136.38,2914698,136.39999,136.42,,
12490,6/19/2019,136.24001,138.36,137.08,2382520,137.09,137.11,,
12490,6/20/2019,138.2,139.53999,138.85001,3071017,138.83,138.85001,,
12490,6/21/2019,138.39,139.53999,139.2,5288759,139.16,139.17999,,
12490,6/24/2019,139.05,140.14999,139.35001,2186137,139.35001,139.38,,
12490,6/25/2019,138.13,139.55,138.36,2801251,138.37,138.38,,
12490,6/26/2019,138.4073,139.67999,138.52,2284567,138.52,138.55,,
12490,6/27/2019,137.95,139.3,138.52,2149824,138.52,138.53999,,
12490,6/28/2019,137.84,139.14,137.89999,6154039,137.92,137.94,,
12490,7/1/2019,139.28,141.49001,139.88,3387184,139.89999,139.94,,
12490,7/2/2019,139.47,140.42999,140.22,2410092,140.24001,140.27,,
12490,7/3/2019,140.42999,141.82001,141.53999,1930361,141.48,141.52,,
12490,7/5/2019,139.91,141.49001,141.38,2135085,141.38,141.41,,
12490,7/8/2019,140.27,141.285,140.57001,2395487,140.57001,140.59,,
12490,7/9/2019,139.13,140.99001,139.33,3365227,139.33,139.37,,
12490,7/10/2019,139.78999,141.91,140.47,2513931,140.46001,140.48,,
12490,7/11/2019,140.3,141.58,141.24001,2133327,141.23,141.24001,,
12490,7/12/2019,141.66,142.92,142.74001,2786276,142.67,142.7,,
12490,7/15/2019,142.12,143.50999,143.32001,2368309,143.28,143.31,,
12490,7/16/2019,143.02,144.03999,143.53,3474688,143.5,143.53,,
12490,7/17/2019,141.95,143.8,143.07001,6064265,143.03,143.07001,,
12490,7/18/2019,142.2,150.31,149.63,12695387,149.64999,149.66,,
12490,7/19/2019,149.55,151.58,149.67999,7290678,149.8,149.81,,
12490,7/22/2019,149.7,151.94,149.74001,4093239,149.74001,149.75999,,
12490,7/23/2019,148.38,150.72,150.38,3742204,150.37,150.38,,
12490,7/24/2019,149.19501,151.45,150.03,2952435,150.00999,150.03999,,
12490,7/25/2019,148.61,150.62,150.39,3102113,150.42,150.42999,,
12490,7/26/2019,150.10001,151.41,151.36,2904494,151.33,151.34,,
12490,7/29/2019,150.32001,151.48,150.88,2075528,150.89,150.89999,,
12490,7/30/2019,149.22,150.39999,149.77,2632726,149.75999,149.77,,
12490,7/31/2019,146.39,150.17999,148.24001,3722907,148.24001,148.27,,
12490,8/1/2019,148.5,152.82001,150.32001,6344006,150.28999,150.31,,
12490,8/2/2019,145.59,152.95,147.25,8101720,147.28,147.28999,,
12490,8/5/2019,139.14999,145.10001,140.75999,7114871,140.72,140.75,,
12490,8/6/2019,139.31,142.47,140.73,5070650,140.71001,140.74001,,
12490,8/7/2019,136.4115,139.58,139.11,5931883,139.11,139.14,,
12490,8/8/2019,137.75999,140.42,140.10001,5261444,140.12,140.13,,
12490,8/9/2019,135.35001,139.31,136.13,5244594,136.10001,136.13,,
12490,8/12/2019,133.17999,135.87,133.67,4083850,134.09,134.10001,,
12490,8/13/2019,132.8058,136.57001,135.78999,4551170,135.75,135.78,,
12490,8/14/2019,130.98,134.16,131.25,5114159,131.24001,131.25,,
12490,8/15/2019,130.25,132.37,131.92,3738945,131.87,131.88,,
12490,8/16/2019,132.9539,134.59,133.75999,3011993,133.75,133.78999,,
12490,8/19/2019,134.88,136.33,135.03999,3165436,135.00999,135.03999,,
12490,8/20/2019,132.81,135.28,133,3018934,133.09,133.11,,
12490,8/21/2019,133.8,135.94,134.25,2806774,134.28,134.28999,,
12490,8/22/2019,133.81,135.67999,134.32001,2695009,134.32001,134.35001,,
12490,8/23/2019,128.83,134.25999,129.57001,4818759,129.58,129.61,,
12490,8/26/2019,129.16,131.3,129.99001,2836837,129.99001,130.03,,
